 
 
Analysis Output 
=============== 

Number of Lines in strace file: 1698 

----------------
-- Time Stats --
----------------
Elapsed Time for run: 1.322435 (secs) 
Total IO Time: 0.864388 (secs) 
Total IO Time Counter: 1653 
   Percentage of Total Time = 65.363369% 
 

---------------------- 
-- IO Command Count -- 
---------------------- 
Command  		 Count
==============================
access   		     1 
lseek    		   387 
stat     		    56 
unlink   		     2 
open     		    13 
close    		    15 
creat    		     1 
fstat    		     6 
fsync    		    12 
read     		   519 
write    		   567 
 

---------------------- 
-- Write Statistics -- 
---------------------- 
-- Write syscall History --
Time		        Command		Unit	          Bytes		 Bandwidth (Bytes/s)		Bandwidth (MB/s) 
======================================================================================================================== 
1430840407.701758	write		   3	          4,096		      163,840,000.00		          163.84 
1430840407.701863	write		   3	          4,096		       45,511,111.11		           45.51 
1430840407.702131	write		   3	          4,096		       63,015,384.62		           63.02 
1430840407.702386	write		   3	          4,096		      146,285,714.29		          146.29 
1430840407.702507	write		   3	          4,096		       29,681,159.42		           29.68 
1430840407.702874	write		   3	          4,096		       46,022,471.91		           46.02 
1430840407.703140	write		   3	          4,096		       32,000,000.00		           32.00 
1430840407.703419	write		   3	          4,096		       26,597,402.60		           26.60 
1430840407.703808	write		   3	          4,096		       68,266,666.67		           68.27 
1430840407.704085	write		   3	          4,096		       38,280,373.83		           38.28 
1430840407.704310	write		   3	          4,096		       62,060,606.06		           62.06 
1430840407.704654	write		   3	          4,096		       18,703,196.35		           18.70 
1430840407.705016	write		   3	          4,096		       25,440,993.79		           25.44 
1430840407.705313	write		   3	          4,096		       41,373,737.37		           41.37 
1430840407.705562	write		   3	          4,096		       24,824,242.42		           24.82 
1430840407.705883	write		   3	          4,096		      113,777,777.78		          113.78 
1430840407.705968	write		   3	          4,096		       67,147,540.98		           67.15 
1430840407.706257	write		   3	          4,096		       44,043,010.75		           44.04 
1430840407.706464	write		   3	          4,096		      157,538,461.54		          157.54 
1430840407.706534	write		   3	          4,096		       71,859,649.12		           71.86 
1430840407.706903	write		   3	          4,096		       60,235,294.12		           60.24 
1430840407.707042	write		   3	          4,096		      163,840,000.00		          163.84 
1430840407.707109	write		   3	          4,096		      107,789,473.68		          107.79 
