Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-20.local) 	03/24/15 	_x86_64_	(32 CPU)

15:21:36     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
15:21:39       1   92.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.00
15:21:39       2   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
15:21:39       3   92.93    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.07
15:21:39       4   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
15:21:39       5   95.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.00
15:21:39       6   97.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    3.00
15:21:39       7   94.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.94
15:21:39       8   87.13    0.00    0.99    0.00    0.00    0.00    0.00    0.00   11.88
15:21:39       9   95.96    0.00    0.00    0.00    0.00    0.00    0.00    0.00    4.04
15:21:39      10   97.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    3.00
15:21:39      11   96.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    4.00
15:21:39      12   97.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    3.00
15:21:39      13   97.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.02
15:21:39      14   83.84    0.00    0.00    0.00    0.00    0.00    0.00    0.00   16.16
15:21:39      15   93.94    0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.06
15:21:39      16   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
15:21:39      17   80.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   18.00
15:21:39      18   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
15:21:39      19   86.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   13.00
15:21:39      20   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
15:21:39      21   88.12    0.00    0.00    0.00    0.00    0.00    0.00    0.00   11.88
15:21:39      22   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
15:21:39      23   88.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   12.00
15:21:39      24   94.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.00
15:21:39      25   97.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    3.00
15:21:39      26   97.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    3.00
15:21:39      27   97.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    3.00
15:21:39      28   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
15:21:39      29   96.97    0.00    0.00    0.00    0.00    0.00    0.00    0.00    3.03
15:21:39      30   83.17    0.00    0.99    0.00    0.00    0.00    0.00    0.00   15.84
15:21:39      31   96.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    4.00

15:21:39     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
15:21:40     all   94.53    0.00    0.09    0.00    0.00    0.00    0.00    0.00    5.38
15:21:40       0   96.04    0.00    1.98    0.00    0.00    0.00    0.00    0.00    1.98
15:21:40       1   91.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    9.00
15:21:40       2   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
15:21:40       3   92.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.92
15:21:40       4   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
