Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-18.local) 	03/27/15 	_x86_64_	(32 CPU)

18:45:43     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:45:44     all    0.03    0.00    0.09    0.00    0.00    0.00    0.00    0.00   99.87
18:45:44       0    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
18:45:44       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:44       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:44       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:44       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:44       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:44       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:44       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:44       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:44       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:44      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:44      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:44      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:44      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:44      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:44      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:44      16    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
18:45:44      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:44      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:44      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:44      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:44      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:44      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:44      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:44      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:44      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:44      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:44      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:44      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:44      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:44      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:44      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:45:44     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:45:45     all    0.00    0.00    0.06    0.00    0.00    0.00    0.00    0.00   99.94
18:45:45       0    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
18:45:45       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:45       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:45       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:45       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:45       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:45       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:45       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:45       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:45       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:45      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:45      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:45      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:45      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:45      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:45      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:45      16    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00   97.98
18:45:45      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:45      18    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
18:45:45      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:45      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:45      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:45      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:45      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:45      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:45      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:45      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:45      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:45      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:45      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:45      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:45      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:45:45     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:45:46     all    0.00    0.00    0.06    0.00    0.00    0.00    0.00    0.00   99.94
18:45:46       0    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
18:45:46       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:46       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:46       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:46       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:46       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:46       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:46       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:46       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:46       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:46      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:46      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:46      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:46      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:46      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:46      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:46      16    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
18:45:46      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:46      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:46      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:46      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:46      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:46      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:46      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:46      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:46      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:46      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:46      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:46      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:46      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:46      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:46      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:45:46     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:45:47     all    0.03    0.00    0.06    0.00    0.00    0.00    0.00    0.00   99.91
18:45:47       0    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
18:45:47       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:47       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:47       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:47       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:47       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:47       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:47       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:47       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:47       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:47      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:47      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:47      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:47      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:47      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:47      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:47      16    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
18:45:47      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:47      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:47      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:47      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:47      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:47      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:47      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:47      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:47      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:47      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:47      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:47      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:47      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:47      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:47      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:45:47     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:45:48     all    0.00    0.00    0.09    0.00    0.00    0.00    0.00    0.00   99.91
18:45:48       0    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
18:45:48       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:48       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:48       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:48       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:48       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:48       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:48       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:48       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:48       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:48      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:48      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:48      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:48      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:48      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:48      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:48      16    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00   97.98
18:45:48      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:48      18    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
18:45:48      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:48      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:48      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:48      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:48      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:48      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:48      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:48      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:48      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:48      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:48      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:48      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:48      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:45:48     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:45:49     all    0.03    0.00    0.09    0.00    0.00    0.00    0.00    0.00   99.87
18:45:49       0    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
18:45:49       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:49       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:49       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:49       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:49       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:49       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:49       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:49       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:49       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:49      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:49      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:49      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:49      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:49      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:49      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:49      16    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
18:45:49      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:49      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:49      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:49      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:49      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:49      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:49      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:49      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:49      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:49      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:49      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:49      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:49      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:49      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:49      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:45:49     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:45:50     all    0.00    0.00    0.06    0.00    0.00    0.00    0.00    0.00   99.94
18:45:50       0    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
18:45:50       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:50       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:50       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:50       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:50       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:50       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:50       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:50       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:50       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:50      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:50      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:50      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:50      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:50      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:50      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:50      16    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   98.00
18:45:50      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:50      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:50      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:50      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:50      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:50      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:50      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:50      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:50      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:50      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:50      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:50      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:50      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:50      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:50      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:45:50     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:45:51     all    0.03    0.00    0.06    0.00    0.00    0.00    0.00    0.00   99.91
18:45:51       0    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
18:45:51       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:51       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:51       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:51       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:51       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:51       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:51       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:51       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:51       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:51      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:51      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:51      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:51      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:51      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:51      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:51      16    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
18:45:51      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:51      18    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
18:45:51      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:51      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:51      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:51      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:51      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:51      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:51      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:51      26    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
18:45:51      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:51      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:51      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:51      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:51      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:45:51     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:45:52     all    0.03    0.00    0.09    0.00    0.00    0.00    0.00    0.00   99.87
18:45:52       0    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
18:45:52       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:52       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:52       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:52       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:52       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:52       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:52       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:52       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:52       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:52      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:52      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
