compute-652-1
	Iozone: Performance Test of File I/O
	        Version $Revision: 3.397 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer.
	             Ben England.

	Run began: Fri May  1 22:53:45 2015

	Excel chart generation enabled
	Auto Mode
	Using maximum file size of 8388608 kilobytes.
	Command line used: /opt/iozone/bin/iozone -Ra -g 8G -b 652_8.xls -f 652_8.tmp
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
            4096       4  873546 1573564  3679713  3764373 2915397 1461767 3602551  2360908  3187474  1560415  2649249 3956848  3834958
            4096       8 1396532 1732574  5211065  5664678 4752639 2062457 4730393  3195181  3965067  1622762  3399392 5211065  4807163
            4096      16 1018440 1644351  5225329  4875373 4612286 1998169 4607338  3016231  4540367  1803697  2037749 5556581  5672159
            4096      32 1032518 1859332  4659824  4841028 4581535 1954077 5306022  3381993  5204750  2011740  3562214 4623457  4675041
            4096      64 1070276 1819553  5204750  5291314 5069594 2090820 5257310  3263773  5113352  1900679  204380910190895 10419583
            4096     128 1074762 1709472  5404504  5490871 5402804 2297140 4982841  3129412  9685316  3577048  1983405 5355645  5411313
            4096     256 1056520 1914019  5019235  5184332 5119446 2232367 5019235  2717987  7392988  3427196  1781625 5424983  5625724
            4096     512 1058407 1895436  5151685  4801789 4780411 2050151 6131713  5107271  5877869  2315406  2072909 5196878  4791076
            4096    1024 1048140 1909552  5145513  5101205 5153230 2214241 9227530  4887857  5083093  2005867  2075915 4922872  4824714
            4096    2048 1065827 1822062  4780411  4893426 4858827 2047951 4315676  2182178  5081590  1553782  2326065 5151685  5244471
            4096    4096 1044317 1910401  4487004  4505833 4476482 1911251 5131680  2079181  5151685  2402172  2164855 4929936  5618365
            8192       4  878388 1485132  7788135  7952160 6296676 3076126 3697057  4437634  6267959  3012742  1690116 4231596  4289173
            8192       8  962408 1898558  5371390  5498608 3998198 1760159 4768340  2928768  3869424  1648280  1873301 3992159  4493345
            8192      16  998661 3417585  5181053  5417973 7256842 3884297 4390007  2835475  4183678  1714831  1979725 9427042  9547539
            8192      32 1009725 2038814  5056765  4838850 4533661 1956503 5347148  2996452  4488649  1730811  2012188 4796296  4796296
            8192      64 1025547 1726810 10291026 1054365910306460 4029614 5607184  3053166  5984134  3678455  2022254 5814021  5649594
            8192     128 1541569 1761784  5368033  5498608 5468852 2205119 5201445  3237878  9739691  3571028  1737375 4641448  4622714
            8192     256 1066251 1653913  5117011  5221205 4420506 1862235 5129999  3236658  9276873  3427471  1984986 4686395  5025700
            8192     512 1389630 1493524  4548665  4471708 4442798 1940701 3976911  2505302  7832518  2716226  1916775 4646469  4452008
            8192    1024 1050666 3420647  5557305  5830794 5741161 2607988 4493932  2460099  9447779  3252283  1622517 4511043  4481623
            8192    2048 1063182 1649230  4505719  4561346 4538452 1948625 4592439  2384138  5271672  1831073  1662315 4474037  4518161
            8192    4096 1062656 1695704  5309142  5688881 5110162 3771317 4454317  2225543  9536939  3072550  2219505 4401818  4558925
            8192    8192 1017770 1803205  4824582  4902367 7099404 3961322 4385525  1933058  5097274  1961194  1897614 4411425  4427912
           16384       4  979903 2021469  3524110  3631377 5917050 2825891 3067038  4650810  6019150  2967058  1821019 6569861  6921919
           16384       8  960711 1683524  4443604  4559774 6417699 3536443 4146770  5824767  7926299  3379567  1544472 4311727  4394726
           16384      16 1043959 1804238  4381835  4529718 7373488 3717820 4670725  6014936  8600894  3437726  1711278 4350488  8885596
           16384      32  986161 1585414  4617994  4736724 5680795 3879649 8923673  5128010  7204956  2688996  2151800 4602221  4686652
           16384      64 1146054 3095359  5039634  4868954 4898106 3431203 5540639  6559201  9746329  3615899  2264844 5475740  5622694
           16384     128 1353950 3043134  4480106  4641387 7347471 4089762 8942252  3585899  8480948  3486032  1969897 5251451  5234251
           16384     256 1210856 1934571  4208481  4799246 9072110 3957399 4405431  5215976  8618152  3210019  1931363 7995466  8419641
           16384     512 1079954 2839084  4193329  4927608 9142111 3919479 4057404  2570027  8324784  2935750  1597020 4332113  4389112
           16384    1024 1091256 2462639  4156301  5280100 9127540 3898135 4731180  3106553  5293522  2385280  1560997 4890785  4355176
           16384    2048 1322347 2014005  4818765  4322848 4463229 3172819 4487419  3510608  5314400  1645628  1407672 6462967  6328456
           16384    4096 1031548 1971818  4134296  4321760 4401763 1822275 4172198  4994944  9411299  2738394  1875695 4500939  4227120
           16384    8192 1181583 1452726  5030411  8038488 7843072 3138190 7313846  3944225  4393883  1630749  2696488 6465399  7366374
           16384   16384 1146934 1318642  4161586  5929815 5927769 2456301 3069230  2459378  3096475  2458234  1982627 2947334  3617613
           32768      64 1223737 1869159  4015183  4569447 6920109 2536204 7376577  5119187  7998167  2602280  2048642 4503566  7616960
           32768     128 1350209 2016481  4832286  7236750 7627528 2645559 4456977  6458049  7392050  2477368  1819544 5809700  4735387
           32768     256 1287993 1728013  3749650  6875108 7294749 2651173 3998014  5781351  6822550  2535642  1879332 3685895  6843613
           32768     512 1431912 1807389  3477107  6961470 7230278 2622740 4010379  5445109  6554760  2547864  2027099 3654338  6493749
           32768    1024 1334801 1852556  4332633  6991215 7386885 2635565 4502238  5367491  6061306  2350637  1847327 3873832  6918716
           32768    2048 1413314 1904119  6073896  4297948 4043415 1841930 3799615  5290426  5655503  2317227  1663188 3905091  6870983
           32768    4096 1351643 1732566  3945562  7063798 7195453 2545080 4628227  5160319  5278438  1987151  1573107 3692927  6808355
           32768    8192 1427984 1832353  6663123  6888201 6754817 2475672 3695012  4696711  4830248  2073554  1805300 4715565  6639946
           32768   16384 1514515 1962746  4947619  5045148 5013494 2378297 3488935  2677357  4217884  2376734  2144374 2879158  4967827
