compute-431-3
	Iozone: Performance Test of File I/O
	        Version $Revision: 3.397 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer.
	             Ben England.

	Run began: Fri May  1 23:32:54 2015

	Excel chart generation enabled
	Auto Mode
	Command line used: /opt/iozone/bin/iozone -Ra -b 431_3.xls -f 431_3.tmp
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
            4096       4 1226362 2320724  5640500  7585581 5672159 2872500 4607338  4095510  5711761  2838800  2283401 5513780  7392988
            4096       8 1335519 2571141  6659365  8788530 7261741 3524939 5784846  4691638  6595451  2917377  2506983 6105563  8028705
            4096      16 1331999 2610602  6252213  5304384 4643451 2299908 5475122  4988629  8189447  3091124  2488463 6769576  8393502
            4096      32 1404179 2176373  6680080  7555557 6964419 3205315 6005255  3390670  8340529  3482778  2070910 5883908  6967243
            4096      64 1455081 2161314  6389405  7715028 7612471 3187474 6293440  3771811  6151473  2224851  2321978 6430059  7639552
            4096     128 1518218 2441083  6263611  8224733 7683972 3454069 5424983  4342950  6782940  2572681  2229470 5489116  7212959
            4096     256 1454589 2387152  6595451  6131713 5761565 2549015 5587302  5618365 10065509  3524939  2682340 5894001  7701194
            4096     512 1453973 2222261  6077484  7788478 7788478 2803592 5468151  3052133  5340661  2270725  2705147 5910222  7770863
            4096    1024 1494836 2176373  6605595  8276241 7892238 3295072 5001700  4977067  8224733  3552638  2728780 5520868  6919538
            4096    2048 1526718 2585847  6769576  7863339 7863339 3237937 5728903  3717133  6727163  2747106  3319264 5792648  7670249
            4096    4096 1509282 2415003  5784846  5859825 5828019 2446993 5565581  3031667  4954103  2455738  2625764 5389246  5736555
            8192       4 1205613 1891867  4676190  5309142 4181641 1872485 3796318  3880349  5326425  2786495  1527791 4087619  4259926
            8192       8 1415798 1861831  4946832  5468852 4571664 2642689 5265210  4047176  7313997  3292485  2315532 5208541  5389927
            8192      16 1407332 1888021  6989645  8990446 8490582 3571399 5274909  3315359  5013234  2066651  2170572 6765318  8799346
            8192      32 1414399 2249880  6855760  9133841 9023500 3763056 6292063  5868638  8022717  3159282  2678953 6660405  8419841
            8192      64 1474489 2745307  6775991  9526362 9845745 3913942 5884720  3642192  5561803  2122831  2218359 5326425  5622783
            8192     128 1484362 2349254  5410295  6365501 6307078 2678118 5271672  3715045  9373038  3338228  2132846 5789530  6895660
            8192     256 1472846 1937090  5595314  7320230 8990446 3801358 5486317  3390605  5721087  2503659  2048050 5432536  5546540
            8192     512 1525824 2343805  5414558  5424817 5713476 2366241 5329730  3710232  6233844  2310860  2262473 4929091  5553712
            8192    1024 1486996 1903290  4938300  5637544 5599873 2350540 4793620  3072825  7823601  2967980  2026668 5447177  6278267
            8192    2048 1534341 2511345  5162371  5592582 5637544 2394606 5940679  3982903  8226319  2795791  2349897 5642173  5361332
            8192    4096 1479250 1933928  5224380  5432536 6698058 2754551 4776959  4164914  6099933  2101666  3281793 4657175  5016894
            8192    8192 1598141 2022254  4824582  4421075 4435342 2546522 4273171  2882575  4493932  2008307  2052699 4700499  4810398
           16384       4 1270470 2093012  4527330  4379601 3180749 1956994 3360068  3832695  4877940  2383130  1779891 3861554  3823738
           16384       8 1347366 1763041  5027467  5179805 5731014 2653691 4825871  5509102  6289072  2709031  1787856 5608926  4813027
           16384      16 1894779 2377276  5529493  4834359 4641387 2504098 5189976  4624209  6901066  2743423  1866930 5059671  5410639
           16384      32 1469815 1986180  5960159  5914504 6809433 2947334 5537068  5853544  7460745  2892135  2559593 4267811  4462070
           16384      64 1516055 1987156  5264728  6606494 7850240 3175164 5512638  6072338  7999188  2995773  1979486 5651363  5342079
           16384     128 1570701 2150117  5444935  7019493 7440550 3267718 5649504  6313339  7376654  3008890  2118956 5968441  6992351
           16384     256 1594093 2603522  4787877  4716244 5108948 3143501 5137595  5264728  6977442  2908046  1870334 4729877  4753434
           16384     512 1740006 2599386  5385620  5391536 5938526 3278005 5276856  3302581  5113510  2137743  2514451 4850054  4804615
           16384    1024 1721912 2668426  5363343  4880712 5005860 2857857 5078742  3375417  8436179  2308516  1758304 4960332  5028939
           16384    2048 1562452 2117911  5483167  4942138 5013529 3171501 4915624  5121513  8591217  2193001  1668766 4961764  6445388
           16384    4096 1931417 2208436  5403831  6820923 6435127 3073898 4749163  3954439  7526113  2249645  2143410 5132606  4674538
           16384    8192 1497488 1866727  3964248  4240161 4619236 2632747 3891513  2924630  4181592  2368019  2639624 4053575  4533304
           16384   16384 1583916 1834534  4213125  4262252 4161586 2464936 3528815  2502092  3535533  2342911  2021707 3531899  3792506
