Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-1.local) 	03/20/2015 	_x86_64_	(48 CPU)

01:27:06 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
01:27:07 AM  all    0.00    0.00    0.06    0.00    0.00    0.00    0.00    0.00   99.94
01:27:07 AM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:27:07 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:27:07 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:27:07 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:27:07 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:27:07 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:27:07 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:27:07 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:27:07 AM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:27:07 AM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:27:07 AM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:27:07 AM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:27:07 AM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:27:07 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:27:07 AM   14    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
01:27:07 AM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:27:07 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:27:07 AM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:27:07 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:27:07 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:27:07 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
