CPU;;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr
18;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76;100;100;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;100;43,56;0;0;1,01;92;100;100;100;100;100;92;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0
32;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,01;0;0;0;0;0;0;0;1,02;0;0;0
19;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85,86;100;100;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89;100;43,43;0;0;1,01;84,16;100;100;100;100;100;92;0;0;0;66,67;16;0;0;0;0;0;0;0;0;0;0;0
33;;0;0;0;0;0;0,99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;;0;0;0;0;0;2;81;100;100;100;100;100;100;100;70,71;0;0;0;68,32;100;100;100;100;76,77;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;70;100;97,03;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;98;1;0;0;10;0;0;0;0;0;0;0;0;44;100;100;100;100;9;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;13,13;0;0;0;0;0;0;0;93,94;100;43,56;0;0;6;92;100;100;100;100;100;92;0;0;0;69,39;16;0;0;0;0;0;0;0;0;0;0;0
37;;0;0;0;0;0;2;11,88;0;0;0;0;0;0;0;0;0;0;0,99;1,01;0;0;0;0;0,99;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;37,37;100;100;100;100;100;100;100;100;100;89,11;0;0;0;69,7;99;98;100;100;100;100;100;100;100;100;100;100;99,01;100;100;100;100;99;0;0;0;2,97;0;0;0;0;0;0;0;0;56,12;100;100;100;100;8,91;0;0;11;0;0;0;0;0;0;0;0;0;0,98;0;0;12,87;0;0;0;0;0;0;0;1;0;0;0;0;1;84;100;100;100;100;100;91,92;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
38;;0;0;0;0;0,99;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0,99;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;100;100;100;100;8;0;0;53,54;98,02;100;100;100;100;100;100;100;92,93;0;0;0;73;70,71;0;0;0;0;0;0;91;100;44,44;0;0;6;92,93;100;100;100;100;100;92,93;0;0;0;70;14;0;0;0;0;0;0;0;0;0;0;0
39;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79,21;100;100;100;100;76,77;0;0;1;1;0;1;0;0;0;0,99;0;0;0;0;0;0;0,99;0;0;0;0;0;0;0,99;0;0;0;0;0;0;0,99;0;0;0;0;0;0;0,99;0;0;0;0;0;0;0,99;0;0;0;0;0;0;1;0;0;0;0;0;0;0,99;0;0;0;0;0;0;0,99;0;0;0;0;0;0;0;0;0,99;0;0;0;0;0;0;1;0;0;0;0;0;0;0,99;0;0;0;0;0;0;0;0,99;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0,98;0;0;0;0,99;0;0;0;0;0;0;0;50;99;100;100;100;100;100;100;100;92;0;0;0;72,28;71,72;0;0;0;0;0;0;11,11;0;0;0;0,99;1,01;92;100;100;100;100;100;92;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0,99;0
