Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-1.local) 	03/20/2015 	_x86_64_	(48 CPU)

01:37:12 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
01:37:13 AM  all    0.00    0.00    0.04    0.00    0.00    0.02    0.00    0.00   99.94
01:37:13 AM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:13 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:13 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:13 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:13 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:13 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:13 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:13 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:13 AM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:13 AM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:13 AM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:13 AM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:13 AM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:13 AM   13    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
01:37:13 AM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:13 AM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:13 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:13 AM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:13 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:13 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:13 AM   20    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
01:37:13 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:13 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:13 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:13 AM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:13 AM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
