CPU %usr
CPU %usr
all 0,5
0 1,02
1 1
2 1
3 1
4 1
5 1
6 1,01
7 1
8 0
9 0
10 0
11 0
12 0
13 1,01
14 1
15 0
16 0
17 0,99
18 0
19 0
20 0
21 0
22 0
23 0
24 1,01
25 0
26 0
27 2
28 1
29 1
30 0
31 1
32 0
33 0
34 0
35 0
36 1
37 0
38 0,99
39 1
40 2
41 0
42 1,01
43 1
44 0
45 0
46 0
47 0,99
CPU %usr
all 29,16
0 76,77
1 5,05
2 87,88
3 87
4 76
5 1
6 10,1
7 76
8 0
9 0
10 0
11 0
12 89
13 86,87
14 86,14
15 87,13
16 85,86
17 76
18 76
19 85,86
20 0
21 0
22 0
23 0
24 13,86
25 88,12
26 1
27 1
28 11,88
29 85,86
30 76,77
31 9,09
32 0
33 0
34 0
35 0
36 0
37 1
38 1
39 1
40 0
41 9
42 9,9
43 0
44 0
45 0
46 0
47 0
CPU %usr
all 33,33
0 100
1 0
2 100
3 100
4 100
5 0
6 0
7 100
8 0
9 0
10 0
11 0
12 100
13 99,01
14 100
15 100
16 100
17 100
18 100
19 100
20 0
21 0
22 0
23 0
24 0
25 100
26 0
27 0
28 0
29 100
30 99,01
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
CPU %usr
all 33,33
0 100
1 0,99
2 100
3 100
4 99
5 0
6 0
7 99,01
8 0
9 0
10 0
11 0
12 100
13 100
14 100
15 100
16 100
17 100
18 100
19 100
20 0
21 0
22 0
23 0
24 0
25 100
26 0
27 0
28 0
29 100
30 100
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 1
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
CPU %usr
all 33,02
0 99
1 0
2 99
3 99
4 99
5 0
6 0
7 99
8 0
9 0
10 0
11 0
12 99
13 99
14 99
15 99
16 99
17 99
18 99
19 99
20 0
21 0
22 0
23 0
24 0
25 99
26 0
27 0
28 0
29 99
30 99
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
CPU %usr
all 0,1
0 0
1 0
2 0,99
3 0
4 1
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0,99
13 0
14 0
15 0
16 0
17 0,99
18 0
19 0
20 0
21 0
22 0
23 0
24 0,99
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
CPU %usr
all 0
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
CPU %usr
all 0,02
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0,99
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
CPU %usr
all 0
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
CPU %usr
all 0
0 0
1 0
2 0
3 0
4 0
5 0
6 1
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
CPU %usr
all 2,67
0 10,2
1 53,54
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0,99
24 54,55
25 8
26 0
27 1,01
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 1
38 0
39 0
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
CPU %usr
all 4,19
0 0
1 100
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 100
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
CPU %usr
all 4,17
0 0
1 100
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 100
25 0,99
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
CPU %usr
all 4,19
0 0
1 100
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 100
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
CPU %usr
all 4,17
0 0
1 100
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 100
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
