Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-1.local) 	03/20/2015 	_x86_64_	(48 CPU)

01:34:10 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
01:34:12 AM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:12 AM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:12 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:12 AM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:12 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:12 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:12 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:12 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:12 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:12 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:12 AM   24    2.00    0.00    1.00    5.00    0.00    0.00    0.00    0.00   92.00
01:34:12 AM   25    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.98
01:34:12 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:12 AM   27    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00   97.98
01:34:12 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:12 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:12 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:12 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:12 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:12 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:12 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:12 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:12 AM   36    1.00    0.00    1.00    4.00    0.00    0.00    0.00    0.00   94.00
01:34:12 AM   37    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00   96.97
01:34:12 AM   38    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
01:34:12 AM   39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:12 AM   40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:12 AM   41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:12 AM   42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:12 AM   43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:12 AM   44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:12 AM   45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
