compute-431-5
	Iozone: Performance Test of File I/O
	        Version $Revision: 3.397 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer.
	             Ben England.

	Run began: Thu Apr 30 22:49:07 2015

	Excel chart generation enabled
	Auto Mode
	Command line used: /opt/iozone/bin/iozone -Ra -b 431_5.xls -f 431_5.tmp
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
            4096       4 1517012 1559848  3901141  4196552 3407483 1770061 3660115  3063563  3927001  2060231  1581385 3813675  7683972
            4096       8 1324298 2441083  5375755  6449370 5306022 2494606 4526013  3950479  5258919  2393804  1997936 6872481  8013724
            4096      16 1371777 2103621  4946971  6112079 5482110 2544108 5137819  4325455  5944991  2639075  2000030 6459069  7444244
            4096      32 2165946 2165946  5013377  6351609 6068897 2705573 5105753  3908241  5953231  2336823  2341919 6142675  7572208
            4096      64 1424201 2940345  5696610  7599002 7249484 2723588 6500617  4718699  6905631  2811391  2134461 7486415  7742845
            4096     128 1437669 2553941  6459069  9081201 8730470 3908241 5382492  4613524  6872481  2749304  2224851 5360658  6836927
            4096     256 1448335 2174995  5382492  6649056 6605595 2935823 5944991  4718699  8209013  3022599  2558505 5587302  7001316
            4096     512 1434667 2084478  6086096  7015611 7001316 3049966 5483860  3717133  6522830  2640698  2378558 5312585  5689064
            4096    1024 1967504 2344796  6216019  7568872 7486415 3237937 5133213  3300136  9144037  3839243  2597184 6815229  8409937
            4096    2048 1447846 2298677  5859825  6595451 6625976 2903080 5001700  2880206  7123239  2786313  3128843 5681538  7489679
            4096    4096 1843372 2424889  5649775  5721272 5674032 4315676 5601877  2465960  5649775  3153539  2617364 5139356  6007355
            8192       4 1205063 1982124  4154339  4331893 3142235 1700656 3719872  2884511  3639492  1817225  1729330 3822928  4131362
            8192       8 1309850 1910912  6912307  7249187 6325656 2824752 5075439  4268923  5517150  2413783  2090414 4992112  5133064
            8192      16 1369906 2458515  4920620  5361332 5010310 2255492 5050818  4120956  5588034  2199191  1848808 5449769  5992483
            8192      32 1407793 2503659  5364680  9660279 9547539 4154339 4604748  3591558  5152307  2127168  1881920 5142283  5113204
            8192      64 1441275 2112910  6537482  7334293 7735533 3372633 6000856  5001558  7354701  2817109  2615532 5665431  5974769
            8192     128 1709201 2025234  5558204  6395120 6542461 3007204 5181834  3718664  5517150  2127827  1921169 5400941  5565406
            8192     256 1728982 2427254  5572627  6496691 6748045 3009575 5330557  4284360  6698058  2577082  2405839 5016894  5607184
            8192     512 1468879 2652891  4995741  5372229 5490700 3047479 5483690  3822503  6122759  2318032  2030260 5497729  5330557
            8192    1024 1470513 2075389  5139206  5374750 5732541 3000639 5577150  4001923  9739691  3132781  2072884 4646469  4926264
            8192    2048 1473161 2595576  5309142  5703991 5785631 2589122 5224380  3552567  5505657  2238301  2015729 4625826  4841578
            8192    4096 1474489 2137756  6224809  6623173 5801260 2562284 4926264  2995146  5785631  2340453  2811347 4638941  4855947
            8192    8192 1403939 1911337  5801260  4779617 5855636 3160444 4995015  2523703  4620228  2202715  2051596 4648984  4339005
           16384       4 1517998 1948393  3770035  3772519 3943320 2481671 2724389  2617206  5231064  2286624  1528498 4372634  5935961
           16384       8 1329536 1878053  5022690  4825871 5089650 2842019 4413920  3397781  3987481  1845868  1762860 4669138  4571604
           16384      16 1513684 1921642  4816063  5129541 7189127 3040845 4261195  6417699  7062054  3035740  2180476 4698830  4460622
           16384      32 1642364 2376536  4877594  4702688 6321470 3221305 4743590  6892759  7717122  3096614  2323031 4905448  4582885
           16384      64 1724981 1847158  5400009  7116907 7760698 3355311 4743590  4376254  7805655  3184582  1984001 4813027  4647979
           16384     128 1712216 2129990  4992041  4434142 4747523 2983806 3632913  6948516  5754529  2851926  1924602 4288051  4986246
           16384     256 1549732 2933494  5061534  4807640 4954252 3540086 5061534  3587396  7602716  3220097  1949776 5070872  4786543
           16384     512 1554007 2461492  5191153  5354150 5211229 2314191 5464853  6117748  7739720  3253330  2804097 4772581  4779552
           16384    1024 1540560 2681023  5364599  7099261 7490836 3600931 5197828  6052550  8738704  2371370  1781460 5897753  5880593
           16384    2048 1545341 2341633  4966067  4918439 5561265 3548678 4814713  5903833  8760986  2164338  1752296 5290262  5546453
           16384    4096 1518467 1949278  5116937  6139062 6692713 3373263 5131457  3024517  5572539  1897866  1838411 4645466  5180196
           16384    8192 1414714 1858397  4563711  5380982 5157259 2896280 4261195  2478627  4387991  2769851  2605991 3890852  4493582
           16384   16384 1377618 2438434  4365689  4452241 4429283 2659751 3591521  2673201  3608873  1933482  2443984 4023669  3629650
           32768      64 2448111 2653066  4890055  6426343 7291653 3173024 5055169  7197337  7327417  2958424  2312665 5087353  5614839
           32768     128 1722728 2352528  4824483  6116878 6901345 3257556 4886404  7000117  6951259  2986257  2278429 5283308  6896843
           32768     256 1715246 2369849  4610064  6359144 6618522 3330093 4738652  6531398  6658604  2952323  2019592 4801896  4894409
           32768     512 1890707 2568049  6052231  6522409 6630336 3328399 5435204  6042386  6764791  2954481  2622289 5639028  6533882
           32768    1024 1881055 2149001  4702657  6513445 6676394 3312276 4675143  6113613  5726669  2272551  1968170 5001270  4652512
           32768    2048 1796498 2317891  4794191  6736937 6696889 3328077 4845746  6032308 10239974  2209565  1987869 4857391  6461996
           32768    4096 1811486 2754960  4891447  5379677 6449261 3248241 4523576  5459601  8354542  2175086  1819135 4638693  6363855
           32768    8192 1655356 1983652  4632127  4936423 4845916 2684574 3777268  3161710  4455243  2381429  2250706 4234649  4828721
           32768   16384 1722728 2122681  4021527  4437693 4419286 2638145 3559045  2860105  4198300  2791386  2647751 3615501  4407240
           65536      64 2147302 2707975  6398788  7373372 7167087 3227865 4770048  7342843  7113485  2945673  2545476 6805962  7344608
           65536     128 2114204 2626494  6176225  6979288 6878171 3304225 5015031  7158315  6847330  2962212  2787700 5809430  6954215
           65536     256 2016182 2723969  5311259  6515113 6462423 3291446 5161948  6581883  6504784  2915152  2804166 5860835  6500938
           65536     512 2035653 2643315  5625388  6577945 6576529 3367371 4888995  6190134  6603069  2942551  2748756 5836816  6540537
           65536    1024 2000366 2719091  5844635  6639914 6605132 3361853 5749284  6181364  6661477  2312331  2220664 5842026  6587877
           65536    2048 2200153 2890506  5135235  6688709 6654703 3365145 5052456  6023558  6672311  2096147  1951761 5497469  6589140
           65536    4096 1913128 2619860  5459146  6526096 6413868 3296419 5460882  5596640  7480524  2047037  1898933 5285523  6375635
           65536    8192 1757893 2216153  4339254  4614615 4570116 2628805 4465507  3126141  4609353  2079638  1989680 4358588  4756265
           65536   16384 1807493 2210983  4397778  4404896 4398412 2629107 4067817  2950194  3769643  2393827  2273977 4036457  4398975
          131072      64 2187126 2739863  6256766  7425339 7195021 3224245 6168381  7393085  7178017  2983720  2740150 7191539  7393483
          131072     128 2272358 2824274  6039029  7061295 6946465 3353686 6146725  7153360  6929129  2972073  2758201 6717544  7006935
          131072     256 2315513 2817053  5968159  6565047 6509390 3308716 5661818  6535313  6515485  2891826  2716066 5868769  6552293
          131072     512 2350983 2837554  5935169  6610120 6571404 3387056 6012741  6180586  6569362  2929237  2778652 5918556  6590547
          131072    1024 2301651 2946033  6062805  6653077 6631489 3356000 5855579  6147000  6624218  2305415  2157776 4877794  5068891
          131072    2048 2151620 2724020  6104883  6425698 6379172 3268954 5712709  6050461  6243265  2207679  2221560 5792768  6376656
          131072    4096 2155678 2303029  4431841  4703639 4644470 2712354 4351199  5513945  4620076  1737293  1700225 4358167  4616002
          131072    8192 1980625 2372768  4738342  4674444 4763138 2705081 4694081  3202178  4659350  1972700  1901191 4435453  4765368
          131072   16384 1948653 2370712  4391167  4405631 4397525 2657098 4251035  3005825  4389099  2158624  2092531 4273339  4397068
          262144      64 2339402 2881940  6318531  6437240 7154980 3224716 6879867  7427636  7119399  2938834  2539071 5548358  5677922
          262144     128 2278757 2892714  6426705  6710607 6563119 3261147 6334913  6951551  6582569  2883678  2832575 6324964  6695039
          262144     256 2340218 2861613  4684417  4774842 4737664 2816633 4577811  6530880  4744861  2497517  2462281 4691854  4762949
          262144     512 2427999 2573017  4915121  5047641 5029907 2901975 6298045  6022549  6333198  2949651  2902427 6131602  6367048
          262144    1024 2403184 2588920  4985909  5083769 5061070 2926001 4878180  5904153  5058928  2257896  2241103 6544914  6648845
          262144    2048 2482472 2601231  4998375  5119012 5103733 2862463 4951911  5837759  5090383  2127032  2080923 4926021  5090666
          262144    4096 2312372 2572379  4890395  5046297 4998079 2851897 4833213  5380062  4892310  2068980  2045603 4960893  4903284
          262144    8192 2062421 2018745  4892833  4945741 4923638 2912522 4811850  3455629  4895120  2087481  2055450 4733381  4870573
          262144   16384 1988576 2335481  4459212  4475730 4479249 2653576 4387117  2978739  4418108  1924784  1837686 4465678  4477571
          524288      64 2429745 2888177  7059514  7324808 7081041 3215290 6662620  7450027  7078375  2924700  2878299 7162690  7310927
          524288     128 2425786 2955482  6639346  6966632 6796237 3310337 6716219  7321857  6826216  2904949  2892497 6503276  6953965
          524288     256 2453440 2951559    80923  5307947 6478694 3357616 6238031  6623986  6478771  2908653  2854559   44361  4155177
          524288     512 2438093 2957167  6313375  6581816 6522624 3350985 6243237  6249341  6544267  2944035  2931273 6362715  6340480
          524288    1024 2473906 2993245  6337794  6620636 6602130 3377252   63280  6196302  4914679  2038881  2010991 4893669  4948354
          524288    2048 2480593 2994032  6586686  6699053 6678829 3373165 6489037  6126849  6677389  2040999  2012165 6626162  6681792
          524288    4096 2495196 2916001  4978468  5064413 5060940 2865334 4897418  5487053  5042349  2058324  1995122 6131735  6440875
          524288    8192 2076280 2391868  4544687  4684775 4665067 2666433 3940740  3135997  4124193  1914626  1893473  111581  3229133
          524288   16384 2057589 2447231  3710593  4399420 4394664 2643594 3636264  2809812  3695919  1767154  1731158  110181  3784543

iozone test complete.
Excel output is below:

"Writer report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   376589  1045286  1083249  1119387  1143223 
"128"   1022989  1085013  1152564  1152564  1332828  1303699 
"256"   1128110  1202660  1226004  1312954  1327564  1368162  1369908 
"512"   1057974  1207940  1340664  1347393  1316016  1383861  1380303  1402845 
"1024"   1154621  1267398  1319577  1376236  2069060  2106609  2047361  1391395  1414304 
"2048"   1179643  1301938  1347270  2122121  1414491  1425288  1425288  1448358  1438174  1439137 
"4096"   1517012  1324298  1371777  2165946  1424201  1437669  1448335  1434667  1967504  1447846  1843372 
"8192"   1205063  1309850  1369906  1407793  1441275  1709201  1728982  1468879  1470513  1473161  1474489  1403939 
"16384"   1517998  1329536  1513684  1642364  1724981  1712216  1549732  1554007  1540560  1545341  1518467  1414714  1377618 
"32768"   0  0  0  0  2448111  1722728  1715246  1890707  1881055  1796498  1811486  1655356  1722728 
"65536"   0  0  0  0  2147302  2114204  2016182  2035653  2000366  2200153  1913128  1757893  1807493 
"131072"   0  0  0  0  2187126  2272358  2315513  2350983  2301651  2151620  2155678  1980625  1948653 
"262144"   0  0  0  0  2339402  2278757  2340218  2427999  2403184  2482472  2312372  2062421  1988576 
"524288"   0  0  0  0  2429745  2425786  2453440  2438093  2473906  2480593  2495196  2076280  2057589 

"Re-writer report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   1330167  1599680  1638743  1679761  1562436 
"128"   1504659  1663139  1663139  1802755  1827299  1778862 
"256"   1489641  1732384  1855098  1842366  1805197  2366082  1829808 
"512"   1541840  1729323  1821745  1783912  1924603  1869318  1945526  1842059 
"1024"   2198257  1718120  2565989  1917562  1899750  1899750  2625597  1889720  1942715 
"2048"   2226060  2659582  2354177  2174223  2820250  2361944  1924783  2151353  1911931  2727131 
"4096"   1559848  2441083  2103621  2165946  2940345  2553941  2174995  2084478  2344796  2298677  2424889 
"8192"   1982124  1910912  2458515  2503659  2112910  2025234  2427254  2652891  2075389  2595576  2137756  1911337 
"16384"   1948393  1878053  1921642  2376536  1847158  2129990  2933494  2461492  2681023  2341633  1949278  1858397  2438434 
"32768"   0  0  0  0  2653066  2352528  2369849  2568049  2149001  2317891  2754960  1983652  2122681 
